Author,Section,Question,Answer
Original Text,2.1.2,What would match only the strings guppy and ies?,guppy|ies
Original Text,2.1.2,What takes precedence over the disjunction operator?,sequences like guppy
Original Text,2.1.2,What do we need to use to make the disjunction operator apply only to a specific pattern?,parenthesis operators
Original Text,2.1.2,Enclosing a pattern in parentheses makes it act like what for the purposes of neighboring operators?,single character
Original Text,2.1.2,What is the pattern /gupp?,y
Original Text,2.1.2,What operator applies by default only to a single character?,Kleene*
Original Text,2.1.2,What do we want to match with the Kleene* operator?,repeated instances of a string
Original Text,2.1.2,What is the name of the column labels on a line that we want to match repeated instances of a string?,Column 1 Column 2 Column 3
Original Text,2.1.2,What will the expression /Column [0-9] */ match?,a single column followed by any number of spaces
Original Text,2.1.2,The star here applies only to what?,the space that precedes it
Original Text,2.1.2,What expression could be written in parentheses to match the word Column?,/ (Column [0-9]+ *)*/
Original Text,2.1.2,What formalizes the idea that one operator may take precedence over another?,operator precedence hierarchy
Original Text,2.1.2,What is the order of RE operator precedence?,highest precedence to lowest precedence
Original Text,2.1.2,What has a higher precedence than sequences?,counters
Original Text,2.1.2,What has a higher precedence than disjunction?,sequences
Original Text,2.1.2,What can be ambiguous in another way?,Patterns
Original Text,2.1.2,"What expression could match nothing, or just the first letter o, on, one, or once?",/ [a-z]*/
Original Text,2.1.2,What does /[a-z]*/ match?,zero or more letters
Original Text,2.1.2,What do regular expressions say patterns are?,patterns are greedy
Original Text,2.1.2,What qualifier is used to enforce non-greedy matching?,?
Original Text,2.1.2,What is another way to enforce non-greedy matching?,qualifier
Original Text,2.1.2,What is the operator *??,Kleene star
Original Text,2.1.2,What is the operator *??,Kleene star
Original Text,2.1.2,What is the operator +??,Kleene plus
Original Text,2.1.2,What is the operator +??,Kleene plus
Original Text,2.1.3,What English article would we want to find cases of?,the
Original Text,2.1.3,What is a simple pattern for a RE to find cases of the English article the?,/the/
Original Text,2.1.3,What is a problem with the /the/ pattern?,miss the word
Original Text,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/
Original Text,2.1.3,What will we still return texts with?,embedded in other words
Original Text,2.1.3,What does /b/ not treat as word boundaries?,underscores and numbers
Original Text,2.1.3,What do we want?,instances in which there are no alphabetic letters on either side of the the
Original Text,2.1.3,What is the problem with the pattern?,it won't find the word the when it begins a line
Original Text,2.1.3,What implies that there must be some single (although non-alphabetic) character before the the?,the regular expression
Original Text,2.1.3,What are two things we can avoid by specifying that before the the we require?,beginning-of-line or a non-alphabetic character
Original Text,2.1.3,What are strings that we incorrectly matched like other or there?,false positives
Original Text,2.1.3,What two kinds of errors come up again and again in implementing?,speech and language processing systems
Original Text,2.1.3,What is one antagonistic effort to reduce the overall error rate for an application?,increasing precision
Original Text,2.1.3,When will we come back to precision and recall with more precise definitions?,Chapter 4
Original Text,2.1.4,What shows some aliases for common ranges?,Figure 2.8
Original Text,2.1.4,Where can we use explicit numbers as counters?,curly brackets
Original Text,2.1.4,What will match a followed by 24 dots followed by z (but not a followed by 23 or 25 dots followed by z)?,/a
Original Text,2.1.4,What can also be specified?,A range of numbers
Original Text,2.1.4,"/n,m/ specifies from what occurrences of the previous char or expression?",n to m
Original Text,2.1.4,What are summarized in Fig. 2.9?,REs
Original Text,2.1.4,Where are REs for counting summarized?,2.9
Original Text,2.1.4,What are referred to by special notation based on the backslash?,special characters
Original Text,2.1.4,Special characters are referred to by special notation based on what?,backslash
Original Text,2.1.4,"To refer to characters that are special themselves, precede them with what?",a backslash
Original Text,2.1.5,Let's try out a more significant example of the power of what?,REs
Original Text,2.1.5,What do we want to help a user buy a computer on the Web?,build an application
Original Text,2.1.5,What would a user want to buy a computer for?,$1000
Original Text,2.1.5,What is the price of a Mac?,$999.99
Original Text,2.1.5,What will we work out in the rest of this section?,simple regular expressions
Original Text,2.1.5,What do we need to complete our regular expression for?,prices
Original Text,2.1.5,What is the regular expression for a dollar sign followed by a string of digits?,/$[0-9]+/
Original Text,2.1.5,What function does the $ character have a different function from?,end-of-line function
Original Text,2.1.5,Most regular expression parsers are smart enough to realize that $ here doesn't mean what?,end-of-line
Original Text,2.1.5,Who might figure out the function of $ from the context?,regex parsers
Original Text,2.1.5,What do we now need to deal with?,fractions of dollars
Original Text,2.1.5,What will we add after the decimal point and two digits?,a decimal point and two digits
Original Text,2.1.5,What is the only price that this pattern allows?,$199.99
Original Text,2.1.5,What do we need to do to make the cents optional?,make the cents optional
Original Text,2.1.5,What would be far too expensive?,$199999.99
Original Text,2.1.5,What would be far too expensive?,$199999.99
Original Text,2.1.5,What do we need to do to limit prices like $199999.99?,limit the dollars
Original Text,2.1.5,What do we need to allow for optional fractions?,disk space
Original Text,2.1.5,How much disk space will we need to allow for optional fractions?,5.5 GB
Original Text,2.1.5,What does / */ mean?,zero or more spaces
Original Text,2.1.5,What does b/ mean?,*(GB|[Gg]igabytes?)
Original Text,2.1.5,What is left as an exercise for the reader?,more than 500 GB
Original Text,2.1.6,What is an important use of regular expressions?,substitutions
Original Text,2.1.6,What substitution operator allows a string characterized by a regular expression to be replaced by another string?,s/colour/color
Original Text,2.1.6,What do we want to put around all integers in a text?,angle brackets
Original Text,2.1.6,What do we want to add to the first pattern?,brackets
Original Text,2.1.6,What is the number operator used in the second pattern?,1
Original Text,2.1.6,What can the parenthesis and number operators specify?,a certain string or expression must occur twice in the text
Original Text,2.1.6,What is the pattern that we want to constrain the two X's to be the same string?,"the Xer they were, the Xer they will be"
Original Text,2.1.6,How do we constrain the two X's to be the same string?,by surrounding the first X with the parenthesis operator
Original Text,2.1.6,"What is the Xer they were, the Xer they will be?",1er they will be
Original Text,2.1.6,What will the 1 be replaced by?,whatever string matched the first item in parentheses
Original Text,2.1.6,What will the first item in parentheses match?,the bigger they were
Original Text,2.1.6,What is the use of parentheses to store a pattern in memory called?,capture group
Original Text,2.1.6,Where is the resulting match stored when a capture group is used?,numbered register
Original Text,2.1.6,What does 2 mean if you match two sets of parentheses?,whatever matched the second capture group
Original Text,2.1.6,What will the 1er we 2/ match?,faster they ran
Original Text,2.1.6,What is the third capture group stored in?,3
Original Text,2.1.6,What is used to group terms for specifying the order in which operators should apply?,Parentheses
Original Text,2.1.6,"What do we sometimes want to use for grouping, but don't want to capture the resulting pattern in a register?",parentheses
Original Text,2.1.6,How is a non-capturing group specified?,putting the commands
Original Text,2.1.6,Where is a non-capturing group specified?,after the open paren
Original Text,2.1.6,What is a non-capturing group specified by putting the commands?,pattern
Original Text,2.1.6,What is a non-capturing group?,people|cats
Original Text,2.1.6,What are very useful in implementing simple chatbots like ELIZA?,Substitutions and capture groups
Original Text,2.1.6,What does ELIZA simulate?,Rogerian psychologist
Original Text,2.1.6,What does ELIZA have a series or cascade of?,regular expression substitutions
Original Text,2.1.6,What are input lines in ELIZA?,first uppercased
Original Text,2.1.6,What do the first substitutions do?,"change all instances of MY to YOUR, and I'M to YOU ARE"
Original Text,2.1.6,What happens to the next set of substitutions in ELIZA?,matches and replaces other patterns in the input
Original Text,2.1.6,"In ELIZA, substitutions are assigned what?",rank
Original Text,2.1.6,Creating patterns is the topic of what exercise?,Exercise 2.3
Original Text,2.1.7,What do we do when we need to predict the future?,look ahead in the text
Original Text,2.1.7,What syntax do lookahead assertions make use of?,(?
Original Text,2.1.7,What do lookahead assertions use the (? syntax for?,non-capture groups
Original Text,2.1.7,When is the operator (?= pattern) true?,if pattern occurs
Original Text,2.1.7,"What happens if the operator (?= pattern) is true if pattern occurs, but is zero-width?",the match pointer doesn't advance
Original Text,2.1.7,What operator returns true if a pattern does not match?,pattern
Original Text,2.1.7,What operator returns true if a pattern does not match?,pattern
Original Text,2.1.7,What is commonly used when we are parsing some complex pattern but want to rule out a special case?,Negative lookahead
Original Text,2.1.7,What word would you want to match at the beginning of a line?,Volcano
Original Text,2.1.7,"What do we use when we want to match, at the beginning of a line, any single word that doesn't start with ""Volcano",negative lookahead
Original Text,2.1.7,"What is a word that doesn't start with ""Volcano""?",!Volcano
Original Text,2.2,"Before we talk about processing words, we need to decide what?",what counts as a word
Original Text,2.2,What is a computer-readable collection of text or speech called?,plural corpora
Original Text,2.2,How many written English texts are in the Brown corpus?,500
Original Text,2.2,When was the Brown corpus assembled?,1963-64
Original Text,2.2,How many words are in the following Brown sentence?,How many words are in the following Brown sentence
Original Text,2.2,What did Brown encounter when he stepped out into the hall?,water brother
Original Text,2.2,How many words does the Brown sentence have if we don't count punctuation marks as words?,13
Original Text,2.2,What is a comma called?,period
Original Text,2.2,"Punctuation is critical for finding boundaries of things (commas, periods, colons) and identifying some aspects of meaning (question",comma
Original Text,2.2,What is critical for finding boundaries of things?,Punctuation
Original Text,2.2,Punctuation marks are sometimes treated as if they were separate words for what tasks?,part-of-speech tagging or parsing or speech synthesis
Original Text,2.2,What corpus of American English telephone conversations between strangers was collected in the early 1990s?,Switchboard
Original Text,2.2,What does the Switchboard corpus of spoken language not have?,punctuation
Original Text,2.2,What is the main part of an utterance?,business data processing
Original Text,2.2,How many kinds of disfluencies does an utterance have?,two
Original Text,2.2,The broken-off word main- is called what?,a fragment
Original Text,2.2,What are fillers called?,filled pauses
Original Text,2.2,Fillers or filled pauses are considered to be what?,words
Original Text,2.2,What determines whether fillers or filled pauses are words?,the application
Original Text,2.2,"If we are building a speech transcription system, we might want to strip out what?",disfluencies
Original Text,2.2,What do we sometimes keep around?,disfluencies
Original Text,2.2,What disfluencies are helpful in speech recognition in predicting the upcoming word?,uh or um
Original Text,2.2,What can be a cue to speaker identification?,different disfluencies
Original Text,2.2,Who showed that uh and um have different meanings?,Clark and Fox Tree
Original Text,2.2,What are uh and um like?,capitalized tokens
Original Text,2.2,What are uh and um like?,capitalized tokens
Original Text,2.2,What are capitalized tokens and uncapitalized tokens lumped together in?,speech recognition
Original Text,2.2,What word has the same lemma cat but are different wordforms?,cats
Original Text,2.2,What do cats and cat have the same?,lemma cat
Original Text,2.2,"What is a set of lexical forms having the same stem, the same major part-of-speech, and the same word sense",A lemma
Original Text,2.2,What is the word-form?,full inflected or derived form
Original Text,2.2,"For morphologically complex languages like Arabic, we often need to deal with what?",lemmatization
Original Text,2.2,What is sufficient for many tasks in English?,wordforms
Original Text,2.2,How many words are there in English?,How many words
Original Text,2.2,How many ways of talking about words are there in English?,two
Original Text,2.2,What are tokens?,the total number N of running words
Original Text,2.2,Where did the Browns picnic?,the pool
Original Text,2.2,"When we speak about the number of words in the language, we are generally referring to what?",word types
Original Text,2.2,What shows the rough numbers of types and tokens computed from some popular English corpora?,2.11
Original Text,2.2,What shows the rough numbers of types and tokens computed from some popular English corpora?,2.11
Original Text,2.2,What is the relationship between the number of types |V | and number of tokens N called?,Herdan's Law
Original Text,2.2,Where is Herdan's Law shown?,Eq. 2.1
Original Text,2.2,What are positive constants in Herdan's Law?,k and B
Original Text,2.2,The value of B depends on what?,corpus size and the genre
Original Text,2.2,What goes up significantly faster than the square root of its length in words?,vocabulary size
Original Text,2.2,What is another measure of the number of words in English?,lemmas
Original Text,2.2,Dictionaries can help in giving what?,lemma counts
Original Text,2.2,How many entries were in the 1989 edition of the Oxford English Dictionary?,"615,000"
Original Text,2.3,What doesn't appear out of nowhere?,Words
Original Text,2.3,What is a specific dialect of?,language
Original Text,2.3,When are NLP algorithms most useful?,when they apply across many languages
Original Text,2.3,How many languages does the world have at the time of this writing?,7097
Original Text,2.3,What language do NLP algorithms tend to be tested on?,English
Original Text,2.3,What are some of the official languages of large industrialized nations?,"Chinese, Spanish, Japanese, German"
Original Text,2.3,What do most languages have?,multiple varieties
Original Text,2.3,What is the name for the many variations of language used by millions of people in African American communities?,African American Language
Original Text,2.3,What social network might use features often used by speakers of African American Language?,Twitter
Original Text,2.3,In what year did Blodgett and others study word segmentation?,2015
Original Text,2.3,What is it called when a speaker or writer uses multiple languages in a single communicative act?,code switching
Original Text,2.3,What is enormously common across the world?,Code switching
Original Text,2.3,What is another dimension of variation?,genre
Original Text,2.3,What types of texts do NLP algorithms have to process?,"newswire, fiction or non-fiction books, scientific articles, Wikipedia, or religious texts"
Original Text,2.3,What are some examples of spoken genres?,"telephone conversations, business meetings, police body-worn cameras, medical interviews, or transcripts of television shows or movies"
Original Text,2.3,What are some examples of work situations that NLP algorithms must process?,"doctors' notes, legal text, or parliamentary or congressional proceedings"
Original Text,2.3,What can all influence the linguistic properties of the text we are processing?,"their age, gender, race, socioeconomic class"
Original Text,2.3,What is important to consider when developing computational models for language processing from a corpus?,time
Original Text,2.3,How does a corpus of texts from different historical periods change?,Language changes over time
Original Text,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose"
Original Text,2.3,What is the best way for the creator to build a datasheet for each corpus?,data statement
Original Text,2.3,What is the context of a corpus?,When and in what situation was the text written/spoken
Original Text,2.3,What type of situation was the text written/spoken?,task
Original Text,2.3,What is an example of a language used in a corpus?,monologue vs. dialogue
Original Text,2.3,What language was the corpus in?,What language
Original Text,2.3,What are the demographics of the authors of a text?,age or gender
Original Text,2.3,What is the collection process of a corpus?,How big is the data
Original Text,2.3,What was the data collected with?,consent
Original Text,2.3,What is the collection process of a corpus?,"How was the data pre-processed, and what metadata is available"
Original Text,2.3,What are the annotators?,demographics
Original Text,2.3,What type of restrictions are there in relation to the distribution of a corpus?,intellectual property
Original Text,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized
Original Text,2.4.0,What is the term for segmenting words?,Tokenizing
Original Text,2.4.0,How do we go through each of these tasks?,walk through
Original Text,2.4.1,What was the inspiration for the UNIX command-line?,Church
Original Text,2.4.1,What Unix command is used to change particular characters in input?,tr
Original Text,2.4.1,What collapses and counts adjacent identical lines?,uniq
Original Text,2.4.1,What is the name of the textfile that contains the 'complete words' of Shakespeare?,sh.txt
Original Text,2.4.1,What type of characters can be changed to a newline with tr?,alphabetic
Original Text,2.4.1,How many words per line can we sort?,one
Original Text,2.4.1,The -n option to sort means to sort what rather than alphabetically?,numerically
Original Text,2.4.1,What can be very handy in building quick word count statistics for any corpus?,Unix tools
Original Text,2.4.2,What is the task of segmenting running text into words called?,tokenization
Original Text,2.4.2,What did the Unix command sequence remove?,all the numbers and punctuation
Original Text,2.4.2,What is a useful piece of information for parsers?,commas
Original Text,2.4.2,What do most NLP applications want to keep in their tokenization?,punctuation that occurs word internally
Original Text,2.4.2,What is the price of AT&T?,45.55
Original Text,2.4.2,What is an example of an email address?,someone@cs.colorado.edu
Original Text,2.4.2,"Commas are used inside numbers in English, every three digits: what?","555,500.50"
Original Text,2.4.2,What do many continental European languages use to mark the decimal point?,comma
Original Text,2.4.2,What can a tokenizer be used to expand clitic contractions that are marked by?,apostrophes
Original Text,2.4.2,What is a part of a word that can't stand on its own?,A clitic
Original Text,2.4.2,What are examples of clitic contractions in French?,articles and pronouns
Original Text,2.4.2,What is required to tokenize multiword expressions like New York or rock 'n' roll as a single token?,multiword expression dictionary
Original Text,2.4.2,Tokenization is intimately tied to what?,named entity recognition
Original Text,2.4.2,What is the most commonly used tokenization standard?,Penn Treebank tokenization standard
Original Text,2.4.2,What does the Penn Treebank tokenization standard do?,separates out clitics
Original Text,2.4.2,Why is tokenization needed to be very fast?,tokenization needs to be run before any other language processing
Original Text,2.4.2,What are deterministic algorithms compiled into?,finite state automata
Original Text,2.4.2,What shows an example of a basic regular expression that can be used to tokenize with the nltk.regexp tokenize,Fig. 2.12
Original Text,2.4.2,What language is the nltk.regexp tokenize function of?,Python
Original Text,2.4.2,When did Bird and colleagues publish their work on the Python-based Natural Language Toolkit?,2009
Original Text,2.4.2,What needs to be tokenized differently when used as a genitive marker?,apostrophe
Original Text,2.4.2,What languages do not use spaces to mark potential word-boundaries?,"Chinese, Japanese, and Thai"
Original Text,2.4.2,What are characters called in Chinese?,hanzi
Original Text,2.4.2,What is a unit of meaning called?,a morpheme
Original Text,2.4.2,How many characters long are words on average?,2.4
Original Text,2.4.2,What is deciding what counts as a word in Chinese?,complex
Original Text,2.4.2,"What is a sentence that could be treated as 3 words ('Chinese Treebank' segmentation): ""YaoMing ","""Yao Ming reaches the finals"""
Original Text,2.4.2,"Who argued that the sentence ""Yao Ming reaches the finals"" could be treated as 3 words?",Chen et al.
Original Text,2.4.2,"How many words could be treated as ""YaoMing reaches the finals""?",3
Original Text,2.4.2,What is 'Yao Ming reaches overall finals' segmentation?,Peking University
Original Text,2.4.2,What are the basic elements of a sentence in Chinese?,characters
Original Text,2.4.2,For most Chinese NLP tasks it turns out to work better to take what as input?,characters
Original Text,2.4.2,For what languages is a character too small a unit?,Japanese and Thai
Original Text,2.4.2,What are algorithms for word segmentation useful for Chinese in the rare situations where word rather than words are required?,character boundaries
Original Text,2.4.2,How are neural sequence models trained?,supervised machine learning
Original Text,2.4.3,What option is there to tokenizing text?,third
Original Text,2.4.3,"Instead of words, what can we use our data to tell us what the tokens should be?",characters
Original Text,2.4.3,What is an important problem in language processing?,unknown words
Original Text,2.4.3,What is a corpus that NLP algorithms learn from?,training corpus
Original Text,2.4.3,What words do NLP algorithms learn from a training corpus?,"low, new, newer, but not lower"
Original Text,2.4.3,What are sets of tokens that include tokens smaller than words called?,subwords
Original Text,2.4.3,What can subwords be?,arbitrary substrings
Original Text,2.4.3,What is the smallest meaning-bearing unit of a language?,morpheme
Original Text,2.4.3,What is an example of a frequently occurring morpheme?,-er
Original Text,2.4.3,What word can be represented by a sequence of known subword units?,lower
Original Text,2.4.3,What are the two parts of most tokenization schemes?,"a token learner, and a token seg- menter"
Original Text,2.4.3,What does the token learner induce?,a set of tokens
Original Text,2.4.3,What takes a raw test sentence and segments it into the tokens in the vocabulary?,token segmenter
Original Text,2.4.3,What is one of the three algorithms used by the token learner?,byte-pair encoding
Original Text,2.4.3,What is the simplest of the three algorithms?,byte-pair encoding or BPE algorithm
Original Text,2.4.3,What is the simplest of the three algorithms?,2.13
Original Text,2.4.3,What does the BPE token learner begin with?,a vocabulary that is just the set of all individual characters
Original Text,2.4.3,What is the new merged symbol added to the vocabulary?,AB
Original Text,2.4.3,How many merges have been done creating k novel tokens?,k
Original Text,2.4.3,The resulting vocabulary consists of the original set of characters plus how many new symbols?,k
Original Text,2.4.3,Where is the BPE algorithm usually run?,inside words
Original Text,2.4.3,What is the starting vocabulary of the BPE algorithm?,11
Original Text,2.4.3,What is the most frequent pair of adjacent symbols?,e r
Original Text,2.4.3,What is the most frequent pair of adjacent symbols?,er
Original Text,2.4.3,What is the token parser used to do?,tokenize a test sentence
Original Text,2.4.3,What just runs on the test data the merges we have learned from the training data?,The token parser
Original Text,2.4.3,Why does the token parser run on the test data?,the frequencies in the test data don't play a role
Original Text,2.4.3,What do we segment each test sentence word into?,characters
Original Text,2.4.3,What is the first rule of the BPE algorithm?,replace every instance of er in the test corpus with r
Original Text,2.4.3,What would be tokenized as a full word if the test corpus contained the word?,n e w e r
Original Text,2.4.3,What new word would be merged into the two tokens low er?,l o w e r
Original Text,2.4.3,How many merges are there in real algorithms?,thousands
Original Text,2.4.3,What happens when BPE is run with thousands of merges on a very large input corpus?,most words will be represented as full symbols
Original Text,2.4.4,What is the task of putting words/tokens in a standard format?,Word normalization
Original Text,2.4.4,What is lost in the normalization process?,spelling information
Original Text,2.4.4,What are two types of normalization that we might want to see information from documents whether they mention the US or the USA?,information retrieval or information extraction
Original Text,2.4.4,What is another kind of normalization?,Case folding
Original Text,2.4.4,Mapping everything to lower case means that what two words are represented identically?,Woodchuck and woodchuck
Original Text,2.4.4,What are some tasks that require case folding?,"sentiment analysis and other text classification tasks, information extraction, and machine translation"
Original Text,2.4.4,What can outweigh the advantage in generalization that case folding would have provided for other words?,US the country and us the pronoun
Original Text,2.4.4,For many natural language processing situations we also want what of a word to behave similarly?,two morphologically different forms
Original Text,2.4.4,"What language has different endings in the phrases Moscow, of Moscow, to Moscow, and so on?",Russian
Original Text,2.4.4,What is the task of determining that two words have the same root?,Lemmatization
Original Text,2.4.4,What words have the shared lemma be?,"am, are, and is"
Original Text,2.4.4,"What Russian word has different endings than am, are, and is?",Moscow
Original Text,2.4.4,"What is the lemmatized form of a sentence like ""He is reading detective stories""?",He be read detective story
Original Text,2.4.4,What is the process of determining that two words have the same root?,lemmatization
Original Text,2.4.4,What is one of the most sophisticated methods for lemmatization?,complete morphological parsing
Original Text,2.4.4,What is the study of the way words are built up from smaller meaning-bearing units called morphemes?,Morphology
Original Text,2.4.4,"What is the central morpheme of the word, supplying the main meaning, and affixes?",stems
Original Text,2.4.4,What is the morpheme of the word/ox?,morpheme fox
Original Text,2.4.4,How can lemmatization algorithms be?,complex
Original Text,2.4.4,What is a simpler but cruder method called stemming?,chopping off word-final affixes
Original Text,2.4.4,What is a naive version of morphological analysis called?,stemming
Original Text,2.4.4,When was the Porter stemmer first used?,1980
Original Text,2.4.4,What produces the following stemmed output?,The Porter stemmer
Original Text,2.4.4,What is the Porter stemmer based on?,series of rewrite rules run in series
Original Text,2.4.4,In what languages can code be found on Martin Porter's homepage?,"Java, Python, etc."
Original Text,2.4.4,Who wrote the original paper on the Porter stemmer?,Martin Porter
Original Text,2.4.4,What can be useful in cases where we need to collapse across different variants of the same lemma?,Simple stemmers
Original Text,2.4.4,Simple stemmers tend to commit errors of what?,over- and under-generalizing
Original Text,2.4.5,What is another important step in text processing?,Sentence segmentation
Original Text,2.4.5,What is one of the most useful cues for segmenting a text into sentences?,punctuation
Original Text,2.4.5,What are relatively unambiguous markers of sentence boundaries?,Question marks and exclamation points
Original Text,2.4.5,What is more ambiguous than question marks and exclamation points?,Periods
Original Text,2.4.5,What character is ambiguous between a sentence boundary marker and a marker of abbreviations like Mr. or Inc?,period character
Original Text,2.4.5,What are two abbreviations that are ambiguous between a sentence boundary marker and a marker of abbreviations?,Mr. or Inc
Original Text,2.4.5,What marked both an abbreviation and a sentence boundary marker?,the final period of Inc.
Original Text,2.4.5,What can be addressed jointly?,tokenization
Original Text,2.4.5,What is part of a word or a sentence-boundary marker?,a period
Original Text,2.4.5,In what year was the final sentence splitter created?,2006
Original Text,2.4.5,In what toolkit is sentence splitting rule-based?,Stanford CoreNLP toolkit
Original Text,2.4.5,What happens when a sentence-ending punctuation is not already grouped with other characters into a token?,optionally followed by additional final quotes or brackets
Original Text,2.5.0,What is much of natural language processing concerned with?,measuring how similar two strings are
Original Text,2.5.0,What is an example of an erroneous string?,graffe
Original Text,2.5.0,What is a similar word to a graffe?,graffe
Original Text,2.5.0,What word differs by only one letter from graffe?,giraffe
Original Text,2.5.0,What is the task of deciding whether two strings refer to the same entity?,coreference
Original Text,2.5.0,How many words do the two strings differ by?,one
Original Text,2.5.0,What gives us a way to quantify both of these intuitions about string similarity?,Edit distance
Original Text,2.5.0,What is the minimum edit distance between two strings?,minimum number of editing operations
Original Text,2.5.0,What is the gap between intention and execution?,5
Original Text,2.5.0,What is the most important visualization for string distances?,alignment between the two strings
Original Text,2.5.0,What is the number of sequences in which an alignment is a correspondence between substrings of the two sequences?,2.14
Original Text,2.5.0,What is a correspondence between substrings of two sequences?,an alignment
Original Text,2.5.0,What do we say I aligns with?,empty string
Original Text,2.5.0,What represents an operation list for converting the top string into the bottom string?,a series of symbols
Original Text,2.5.0,What can we assign to each of these operations?,a particular cost or weight
Original Text,2.5.0,What is the simplest weighting factor in which each of the three operations has a cost of 1?,Levenshtein
Original Text,2.5.0,What is the Levenshtein distance between intention and execution?,5.
Original Text,2.5.0,What did Levenshtein propose in his metric that each insertion or deletion has a cost of 1 and what else?,substitutions are not allowed
Original Text,2.5.0,What is the Levenshtein distance between intention and execution equivalent to?,allowing substitution
Original Text,2.5.0,What is the Levenshtein distance between intention and execution?,8.
Original Text,2.5.1,How do we find the minimum edit distance?,minimum edit distance
Original Text,2.5.1,How do we find the minimum edit distance?,a search task
Original Text,2.5.1,What is the space of all possible edits?,enormous
Original Text,2.5.1,How do we find the minimum edit distance?,recomputing all those paths
Original Text,2.5.1,What is the name for a class of algorithms that apply a table-driven method to solve problems by combining solutions to sub-problems?,dynamic programming
Original Text,2.5.1,When was dynamic programming first introduced?,1957
Original Text,2.5.1,What is the name of the algorithm used for parsing?,CKY algorithm
Original Text,2.5.1,How can a large problem be solved?,by properly combining the solutions to various sub-problems
Original Text,2.5.1,The shortest path of transformed words represents the minimum edit distance between the strings intention and execution shown in what?,Fig. 2.16
Original Text,2.5.1,What is the shortest path of transformed words that represents the minimum edit distance between the strings intention and execution shown in Fig. 2.16?,2.16
Original Text,2.5.1,What is a string in the shortest path of transformed words that represents the minimum edit distance between intention and execution shown in Fig. 2.16?,exention
Original Text,2.5.1,"If exention is in what operation list, the optimal sequence must also include the optimal path from intention to exention?",optimal
Original Text,2.5.1,What would happen if there were a shorter path from intention to exention?,shorter overall path
Original Text,2.5.1,Who named the minimum edit distance algorithm?,Wagner and Fischer
Original Text,2.5.1,What is the first step in the minimum edit distance algorithm?,minimum edit distance between two strings
Original Text,2.5.1,What is the edit distance between X 1..i and Y 1..j?,"D|i, j"
Original Text,2.5.1,What is the edit distance between X and Y?,"D(n, m)"
Original Text,2.5.1,"What will we use to compute D n, m) bottom up?",dynamic programming
Original Text,2.5.1,What does going from i characters to 0 require?,i deletes
Original Text,2.5.1,What does a target substring of length j require to go from 0 characters to y characters?,j inserts
Original Text,2.5.1,"What do we compute for small i, j?","D i, j"
Original Text,2.5.1,What value is computed by taking the minimum of the three possible paths through the matrix which arrive there?,"i, j"
Original Text,2.5.1,"What is the computation for D i, j?",2.8
Original Text,2.5.1,Where is the minimum edit distance algorithm summarized?,Fig. 2.17
Original Text,2.5.1,In what figure is the minimum edit distance algorithm summarized?,2.17
Original Text,2.5.1,What shows the results of applying the algorithm to the distance between intention and execution with the version of Levenshtein in Eq.,2.18
Original Text,2.5.1,What is the minimum edit distance?,2.8
Original Text,2.5.1,What is knowing the minimum edit distance useful for?,spelling error corrections
Original Text,2.5.1,What can the edit distance algorithm provide with a small change?,the minimum cost alignment between two strings
Original Text,2.5.1,What is useful throughout speech and language processing?,Aligning two strings
Original Text,2.5.1,"In speech recognition, what is the minimum edit distance alignment used for?",to compute the word error rate
Original Text,2.5.1,Alignment plays a role in what?,machine translation
Original Text,2.5.1,How can we extend the edit distance algorithm to produce an alignment?,visualizing an alignment
Original Text,2.5.1,What shows the path through the edit distance matrix?,Figure 2.19
Original Text,2.5.1,What does each boldfaced cell represent?,an alignment of a pair of letters in the two strings
Original Text,2.5.1,"If two boldfaced cells occur in the same row, what will occur in going from the source to the target?",insertion
Original Text,2.5.1,What shows the intuition of how to compute this alignment path?,Figure 2.19
Original Text,2.5.1,How many steps does the computation proceed in?,two steps
Original Text,2.5.1,What is the first step of the minimum edit distance algorithm?,to store backpointers in each cell
Original Text,2.5.1,The backpointer from a cell points to what?,previous cell (or cells)
Original Text,2.5.1,Where are the backpointers from a cell shown?,Fig. 2.19
Original Text,2.5.1,Where are the backpointers from a cell shown in Fig. 2.19?,2.19
Original Text,2.5.1,Some cells have what because the minimum extension could have come from multiple previous cells?,multiple backpointers
Original Text,2.5.1,What is performed in the second step?,a backtrace
Original Text,2.5.1,Where do we start in a backtrace?,last cell
Original Text,2.5.1,What is each complete path between the final cell and the initial cell?,minimum distance alignment
Original Text,2.5.1,What exercise asks you to modify the minimum edit distance algorithm to store the pointers and compute the backtrace to output an alignment?,Exercise 2.7
Original Text,2.5.1,What did we use in our example?,Levenshtein distance
Original Text,2.5.1,What does the algorithm in Fig. 2.17 allow on the operations?,arbitrary weights
Original Text,2.5.1,What is more likely to happen between letters that are next to each other on the keyboard?,substitutions
Original Text,2.5.1,What is a probabilistic extension of minimum edit distance?,Viterbi algorithm
Original Text,2.5.1,"What does Viterbi compute instead of the ""minimum edit distance"" between two strings?",maximum probability alignment
Original Text,2.5.1,In what chapter will we discuss the Viterbi algorithm?,Chapter 8
