Author,Section,Question,Answer,Category,A1,A2,A3
Original Text,3.1,What are the MLE estimates for the parameters of an n-gram model?,0 and 1,Interpretable,Y,N,Y
Original Text,3.1,What isn't big enough to give us good estimates in most cases?,web,Interpretable,Y,N,N
Automatic Summary,3.1,How does Eq.11 estimate the n-gram probability?,by dividing the observed frequency of a particular sequence by the frequency of a prefix,Interpretable,N,N,N
Automatic Summary,3.1,What are the majority of the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,zero,Interpretable,Y,Y,N
Original Text,3.1,What equation estimates the n-gram probability by dividing the observed frequency of a particular sequence by the observed frequency of a prefix?,Equation 3.12,Interpretable,N,N,N
Automatic Summary,3.1,What shows the bigram counts from a piece of a bigram grammar from the Berkeley Restaurant Project?,Figure 3.1,Interpretable,N,N,N
Human Summary,3.1,How are bigram probabilities normalized?,by dividing each cell by the set of unigram probabilities,Interpretable,Y,Y,Y
Original Text,3.1,What is the first step in estimating the probability of a word given a history h?,formalizing of notation,Interpretable,Y,Y,Y
Original Text,3.1,What is usually a noun or an adjective?,eat,Interpretable,Y,N,N
Automatic Summary,3.1,What is the class of probabilistic models that assume we can predict the probability of some future unit without looking too far into the past?,Markov models,Interpretable,Y,Y,Y
Original Text,3.1,What should you do to estimate the probability of a word w given some history h?,compute this estimate for yourself,Interpretable,Y,Y,N
Automatic Summary,3.1,How many words would be more sparse than a random set of?,seven,Interpretable,N,N,N
Automatic Summary,3.1,What encode some facts that we think of as strictly syntactic in nature?,Bigram probabilities,Interpretable,Y,N,N
Human Summary,3.1,All language model probabilities are represented in log format as what?,log probabilities,Interpretable,Y,Y,Y
Original Text,3.1,"For larger n-grams, we'll need to assume what to the left and right of the sentence end?",extra contexts,Interpretable,Y,Y,Y
Human Summary,3.1,Why are joint probabilities difficult to calculate?,too many possible sentences of a certain length,Interpretable,Y,Y,Y
Human Summary,3.1,What is another name for the maximum likelihood estimation?,MLE,Interpretable,Y,Y,N
Human Summary,3.1,The n-gram model looks at how many words into the past?,n-1,Interpretable,Y,Y,Y
Original Text,3.1,What is the probability of a complete word sequence by substituting Eq. 3.7 into Eq. 3.4?,3.9,Interpretable,N,N,N
Original Text,3.1,How many words were selected from a random set?,seven,Interpretable,N,N,N
Human Summary,3.2.0,What would happen if we accidentally trained the model on the test set?,bias,Interpretable,Y,Y,Y
Original Text,3.2.0,What can be taken from some continuous sequence of text inside the corpus?,test data,Interpretable,Y,N,Y
Human Summary,3.2.0,What is a test set that has been used so often that we need a fresher test set?,A development set,Interpretable,Y,Y,Y
Human Summary,3.2.0,What embeds a model in an application and measures how much the application improves in an end to end evaluation?,Extrinsic evaluation,Interpretable,Y,Y,Y
Human Summary,3.2.0,What is the downside of extrinsic evaluation?,very expensive,Interpretable,Y,Y,Y
Human Summary,3.2.0,Which n-gram model assigns a higher probability to the test set?,the one that better fits the test set,Interpretable,Y,Y,N
Human Summary,3.2.0,What ensures the quality of a model independent of any application?,intrinsic evaluation,Interpretable,Y,Y,Y
Automatic Summary,3.2.0,Why do we want our test set to be as large as possible?,small test set may be accidentally unrepresentative,Interpretable,Y,Y,Y
Human Summary,3.2.0,What are the three types of data that we divide the data in?,"training set, test set, held out set",Interpretable,Y,Y,Y
Original Text,3.2.1,Perplexity is related inversely to what?,likelihood of the test sequence according to the model,Interpretable,Y,Y,Y
Original Text,3.2.1,How is the perplexity of two language models comparable?,if they use identical vocabularies,Interpretable,Y,Y,Y
Automatic Summary,3.2.1,What can we use to expand the probability of W?,the chain rule,Interpretable,Y,N,Y
Human Summary,3.3.0,What can we use to build an n-gram to answer and predict sentences that make sense in context?,training corpus of a similar genre,Interpretable,Y,Y,Y
Automatic Summary,3.3.0,Our models may still be subject to the problem of what?,sparsity,Interpretable,Y,N,N
Automatic Summary,3.3.0,The n-gram model is dependent on what?,training corpus,Interpretable,Y,Y,Y
Automatic Summary,3.3.0,What is still not sufficient?,Matching genres and dialects,Interpretable,N,N,N
Automatic Summary,3.3.0,What sentences have no coherent relation between words or any sentence-final punctuation?,unigram sentences,Interpretable,Y,Y,Y
Automatic Summary,3.3.0,What sentences have some local word-to-word coherence?,bigram sentences,Interpretable,Y,Y,Y
Original Text,3.3.0,What is the P(offer|denied the)?,0,Interpretable,N,N,N
Automatic Summary,3.3.0,"The longer the context on which we train the model, the more coherent what?",sentences,Interpretable,Y,Y,N
Automatic Summary,3.3.0,"For any n-gram that occurred a sufficient number of times, we might have what?",a good estimate of its probability,Interpretable,Y,Y,Y
Original Text,3.3.0,"What shows the sentences generated by unigram, bigram, and trigram grammars trained on 40 million words from WSJ?",Fig. 3.4,Interpretable,N,N,N
Human Summary,3.3.0,N-grams are dependent on what?,training corpus,Interpretable,Y,Y,Y
Original Text,3.3.0,What do the 4-gram sentences look a little too much like?,Shakespeare,Interpretable,Y,Y,N
Original Text,3.3.1,What is the problem of words whose probability is zero?,bigram probability,Interpretable,Y,N,Y
Human Summary,3.3.1,What is a closed vocabulary system?,the test set doesn't contain any words outside of the given lexicon,Interpretable,Y,Y,Y
Automatic Summary,3.3.1,What are OOV words?,out of vocabulary,Interpretable,Y,Y,Y
Automatic Summary,3.3.1,The exact choice of UNK> model does have an effect on metrics like what?,perplexity,Interpretable,Y,Y,Y
Human Summary,3.3.1,The closed vocabulary system is often used in speech recognition or what?,machine translation,Interpretable,Y,N,Y
Human Summary,3.3.1,What is the term for unknown words?,out of vocabulary,Interpretable,Y,Y,Y
Human Summary,3.3.1,How many ways are there to train probabilities of UNK>?,two,Interpretable,Y,Y,Y
Automatic Summary,3.3.1,What is zero for words that we haven't seen before?,bigram probability,Interpretable,Y,Y,N
Automatic Summary,3.4.0,What is a modification called to keep a language model from assigning zero probability to unseen events?,smoothing or discounting,Interpretable,Y,Y,Y
Original Text,3.4.0,What type of smoothing is introduced?,Kneser-Ney,Interpretable,N,N,Y
Automatic Summary,3.4.0,What do we do to keep a language model from assigning zero probability to unseen events?,shave off a bit of probability mass,Interpretable,Y,Y,N
Automatic Summary,3.4.0,What context do words that are in our vocabulary appear in a test set in?,unseen,Interpretable,Y,Y,N
Original Text,3.4.1,What does Laplace smoothing apply to?,unigram probabilities,Interpretable,Y,Y,Y
Original Text,3.4.1,What do we smooth now that we have the intuition for the unigram case?,Berkeley Restaurant Project bigrams,Interpretable,Y,N,Y
Human Summary,3.4.1,What is the unigram probability of word w_i?,c_i,Interpretable,N,Y,Y
Human Summary,3.4.1,What is the adjusted count c* easier to compare with?,MLE counts,Interpretable,N,N,Y
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Interpretable,N,N,N
Original Text,3.4.1,What shows the add-one smoothed counts for the bigrams in Fig. 3.1?,Figure 3.5,Interpretable,N,N,N
Original Text,3.4.2,What is a fractional count k called?,add-k smoothing,Interpretable,Y,Y,Y
Automatic Summary,3.4.2,What is the algorithm that adds fractional count k called?,add-k smoothing,Interpretable,Y,Y,Y
Automatic Summary,3.4.2,"Instead of adding I to each count, we add what?",fractional count k,Interpretable,N,N,N
Human Summary,3.4.2,What is the algorithm that adds a fractional count k to each count called?,add-k smoothing,Interpretable,Y,Y,Y
Automatic Summary,3.4.3,What shows the equation for interpolation with context-conditioned weights?,Equation 3.28,Interpretable,N,N,N
Automatic Summary,3.4.3,What can help solve the problem of zero frequency n-grams?,Discounting,Interpretable,Y,Y,Y
Human Summary,3.4.3,What are the higher-order n-grams discounted by a function alpha to save some probability mass for?,lower-order n-grams,Interpretable,Y,Y,Y
Automatic Summary,3.4.3,How is each weight computed in a slightly more sophisticated version of linear interpolation?,by conditioning on the context,Interpretable,Y,Y,Y
Human Summary,3.5,What is Kneser-Ney based on?,absolute discounting,Interpretable,Y,Y,Y
Automatic Summary,3.5,Who used a clever idea to see how to save some probability mass for the smoothing algorithm to distribute to unseen n-grams?,Church and Gale,Interpretable,Y,Y,Y
Automatic Summary,3.5,Kneser-Ney discounting augments absolute discounting with a more sophisticated way to handle what?,lower-order unigram distribution,Interpretable,Y,Y,Y
Automatic Summary,3.5,What formalizes this intuition by subtracting a fixed (absolute) discount d from each count?,Absolute discounting,Interpretable,Y,N,N
Automatic Summary,3.5,What will not affect the very high counts?,a small discount d,Interpretable,Y,N,N
Original Text,3.5,What phrase is Kong mainly frequent in?,Hong Kong,Interpretable,Y,Y,N
Original Text,3.5,What word is included as a regular vocabulary entry with count zero?,UNK>,Interpretable,Y,Y,N
Automatic Summary,3.6,What corpora includes n-rams drawn from their book collections?,Google Books Ngrams,Interpretable,Y,Y,Y
Automatic Summary,3.6,What do language model toolkits use to combine probabilities and backoffs in a single value?,sorted arrays,Interpretable,Y,Y,Y
Original Text,3.6,How are probabilities quantized?,4-8 bits,Interpretable,Y,N,Y
Human Summary,3.6,How can n-grams be shrunk?,pruning,Interpretable,Y,Y,Y
Human Summary,3.6,What type of hash numbers are stored in memory?,64-bit,Interpretable,Y,Y,Y
Automatic Summary,3.6,What does stupid backoff not produce?,probability distribution,Interpretable,Y,Y,Y
Automatic Summary,3.7,When is the cross-entropy useful?,when we don't know the actual probability distribution,Interpretable,Y,Y,Y
Human Summary,3.7,"What theorem states that if the language is regular, the entropy of the given language would be the entropy of",Shannon-McMillan-Breiman theorem,Interpretable,Y,Y,Y
Automatic Summary,3.7,"What theorem states that if the language is regular in certain ways (to be exact, if it is both stationary and ergo",Shannon-McMillan-Breiman theorem,Interpretable,Y,Y,Y
Original Text,3.7,"To measure the true entropy of a language, we need to consider sequences of what length?",infinite length,Interpretable,Y,Y,Y
Human Summary,3.7,What would give a lower cross-entropy?,The more accurate model,Interpretable,Y,Y,N
Original Text,3.7,What does the spread represent?,the prior probability of each horse,Interpretable,Y,N,N
Original Text,4.0,What is the extraction of positive or negative orientation that a writer expresses toward some object?,sentiment analysis,Interpretable,Y,Y,Y
Human Summary,4.0,Most classifications in language processing are done through what?,supervised machine learning,Interpretable,Y,Y,Y
Automatic Summary,4.0,What is the extraction of sentiment?,sentiment analysis,Interpretable,Y,Y,N
Human Summary,4.0,What is the task of assigning a label or category to an entire text or document?,Text categorization,Interpretable,Y,Y,Y
Automatic Summary,4.0,What is the output variable for lassification?,c,Interpretable,N,Y,N
Automatic Summary,4.0,What is another important commercial application?,Spam detection,Interpretable,N,N,N
Original Text,4.0,Classification is essential for what?,tasks below the level of the document,Interpretable,Y,N,N
Human Summary,4.0,What is a core part of sentient intelligence?,Classification,Interpretable,Y,Y,N
Automatic Summary,4.0,"Related text classification tasks like what are relevant to the digital humanities, social sciences, and forensic linguistics?",authorship attribution,Interpretable,Y,Y,N
Human Summary,4.0,What does a probabilistic classifier output?,probability of an object belonging to a certain class,Interpretable,Y,Y,Y
Human Summary,4.0,What type of classifier builds a model of how a class could generate input?,Generative classifiers,Interpretable,Y,Y,Y
Original Text,4.0,Even language modeling can be viewed as what?,classification,Interpretable,Y,Y,N
Automatic Summary,4.1,Where is the intuition of the naive Bayes classifier shown?,Fig. 4.1,Interpretable,N,N,N
Original Text,4.1,How can we simplify Eq. 4.3?,dropping the denominator,Interpretable,N,N,N
Automatic Summary,4.1,Why are naive Bayes calculations done in log space?,increase speed,Interpretable,Y,Y,Y
Human Summary,4.1,Naive Bayes generates words by sampling from what?,conditional probability,Interpretable,Y,Y,Y
Original Text,4.1,How can we simplify Eq. 4.3 by dropping the denominator P(d)?,computing Eq. 4.3,Interpretable,N,N,N
Automatic Summary,4.1,What is the multinomial naive Bayes classifier?,a Bayesian classifier,Interpretable,Y,Y,N
Automatic Summary,4.1,What could we imagine by following this process?,generating artificial documents,Interpretable,N,N,N
Automatic Summary,4.1,What does the naive Bayes classifier state about how a document is generated?,implicit assumption,Interpretable,Y,Y,N
Human Summary,4.1,What are the Bayesian classifiers called?,linear classifiers,Interpretable,Y,Y,Y
Human Summary,4.10,What can cause a variety of harms?,classifiers,Interpretable,Y,N,Y
Human Summary,4.10,What type of harms are caused by a system that demeans a social group?,Representational,Interpretable,Y,Y,N
Automatic Summary,4.10,What is one class of harms caused by a system that perpetuates negative stereotypes about a social group?,demeans,Interpretable,Y,Y,N
Human Summary,4.10,What is another class of harms that may exist in toxicity detection?,Censorship,Interpretable,Y,Y,N
Original Text,4.10,What classifiers can cause harms?,toxicity classifiers,Interpretable,Y,Y,Y
Automatic Summary,4.10,What do some widely used toxicity classifiers incorrectly flag as being?,toxic sentences,Interpretable,Y,Y,N
Original Text,4.10,Who published a study in which toxicity classifiers incorrectly flag sentences that are non-toxic but simply mention minority identities?,Davidson et al.,Interpretable,Y,Y,Y
Human Summary,4.2,How do some systems ignore stop words?,by sorting the vocabulary,Interpretable,Y,Y,Y
Human Summary,4.2,What is calculated as the fraction of times a word appears among all words in all documents of a class?,The maximum likelihood estimate of the conditional probability,Interpretable,Y,Y,Y
Original Text,4.2,Why are words not in our vocabulary at all?,they did not occur in any training document in any class,Interpretable,Y,N,Y
Human Summary,4.2,What is the simplest solution to avoid a zero overall probability?,add-one (Laplace) smoothing,Interpretable,Y,Y,Y
Human Summary,4.2,What is the simplest solution for preventing zero probability classes?,Laplace smoothing,Interpretable,Y,Y,Y
Original Text,4.2,What naively multiplies all the feature likelihoods together?,naive Bayes,Interpretable,Y,Y,N
Human Summary,4.2,What is used to avoid zeros?,Laplace smoothing,Interpretable,Y,Y,Y
Original Text,4.4,What seems to matter more than its frequency?,whether a word occurs or not,Interpretable,Y,N,N
Automatic Summary,4.4,What can modify a negative word to produce a positive review?,negation,Interpretable,Y,Y,Y
Automatic Summary,4.4,What can we derive from sentiment lexicons?,positive and negative word features,Interpretable,Y,Y,N
Human Summary,4.4,What is another name for binary multinomial naive Bayes?,binary NB,Interpretable,Y,Y,N
Human Summary,4.5,What type of texts are Language ID systems trained on?,multilingual,Interpretable,Y,N,Y
Original Text,4.5,What is the task of deciding if a particular piece of email is an example of spam?,spam detection,Interpretable,Y,Y,Y
Human Summary,4.5,What are features in naive Bayes for spam detection?,a set of likely words or phrases,Interpretable,Y,Y,Y
Human Summary,4.6,What is the probability of a sentence being positive?,the total product of the individual probabilities that each word in the sentence is positive,Interpretable,Y,Y,Y
Human Summary,4.6,What are similar to language modeling in that they can be viewed as a set of class-specific unigram language models?,Naive Bayes models,Interpretable,Y,Y,Y
Automatic Summary,4.6,What do likelihood features assign to each word P(word|c)?,probability,Interpretable,Y,Y,N
Automatic Summary,4.7.0,What is the goal of accuracy?,to discover something that is rare,Interpretable,Y,Y,N
Original Text,4.7.0,How many false negatives would a classifier have?,"999,900",Interpretable,N,N,Y
Original Text,4.7.0,What do we need in order to know how well our spam detector is doing?,metric,Interpretable,Y,Y,N
Automatic Summary,4.7.0,What is the goal of spam detection?,"to label every text as being in the spam category (""positive"") or not in the spam category (""negative"")",Interpretable,Y,Y,N
Original Text,4.7.0,"What is the accuracy of the ""nothing is pie"" classifier?",99.99%,Interpretable,N,N,N
Original Text,4.7.1,How can we derive a single metric that tells us how well the system is doing?,combine these values in two ways,Interpretable,Y,N,N
Human Summary,4.8,What allows all data to be used for both training and testing?,Cross-validation,Interpretable,Y,Y,Y
Human Summary,4.9.0,What is the null hypothesis that supposes that delta is negative or zero?,Hypothesis H_0,Interpretable,N,Y,Y
Human Summary,4.9.0,What random variable is created over all test sets to find if we can rule out H_0?,X,Interpretable,N,Y,Y
Automatic Summary,4.9.0,What does the hypothesis H0 suppose?,d(x) is actually negative or zero,Interpretable,N,N,Y
Human Summary,4.9.0,What attempts to rule out the null hypothesis?,statistical significance testing,Interpretable,Y,Y,Y
Automatic Summary,4.9.0,What type of tests do we artificially create many versions of the experimental setup?,non-parametric tests based on sampling,Interpretable,Y,Y,Y
Original Text,4.9.0,What are non-parametric tests based on?,sampling,Interpretable,Y,Y,Y
Original Text,4.9.0,What is the probability that we would see if the null hypothesis is true?,d(x),Interpretable,N,N,N
Automatic Summary,4.9.0,Where can we know if the new system we just built is better than the old one?,the literature,Interpretable,N,Y,N
Human Summary,4.9.0,The null hypothesis assumes that the effective size is what?,negative or zero,Interpretable,Y,N,Y
Automatic Summary,4.9.0,How do we test statistical significance for NLP classifiers?,by formalizing two hypotheses,Interpretable,Y,Y,Y
Original Text,4.9.1,The first row of Fig. 1 shows the results of two classifiers (A and B) on a test set x of 10 documents,4.8,Interpretable,N,N,N
Automatic Summary,4.9.1,What is the test set for a tiny text classification example?,x of 10 documents,Interpretable,Y,N,N
Automatic Summary,4.9.1,What can we do statistics on now that we have the b test sets?,how often A has an accidental advantage,Interpretable,N,N,N
Original Text,4.9.1,What is the num of samples b?,b,Interpretable,N,N,N
Automatic Summary,2.0,What do modern conversational agents rely on?,more sophisticated understanding of the user's intent,Relevant,Y,Y,Y
Human Summary,2.0,What does edit distance evaluate?,degree of resemblance between two strings,Relevant,Y,Y,Y
Automatic Summary,2.0,What is an example of a hashtag?,#nlproc,Relevant,N,N,N
Human Summary,2.0,What is the most important tool for text pattern characterization?,Regular expressions,Relevant,Y,Y,Y
Automatic Summary,2.0,What language doesn't have spaces between words?,Japanese,Relevant,Y,Y,Y
Original Text,2.0,What is an algorithm with applications throughout language processing?,Edit distance,Relevant,Y,Y,Y
Human Summary,2.0,What is the process of finding root words of inflected words?,Lemmatization,Relevant,Y,Y,Y
Automatic Summary,2.1.0,What types of regular expressions do regular expressions come in?,variants,Relevant,Y,Y,N
Automatic Summary,2.1.0,What is an algebraic notation for characterizing a set of strings?,regular expression,Relevant,Y,Y,Y
Original Text,2.1.1,What can be used to specify what a single character cannot be?,square braces,Relevant,Y,N,Y
Human Summary,2.1.1,What is an algebraic notation for characterizing a set of strings that is useful for searching for a pattern or through a corpus?,The regular expression,Relevant,Y,Y,Y
Human Summary,2.1.1,What specifies a disjunction of characters that can be matched in a position in a longer regular expression?,Square braces,Relevant,Y,Y,Y
Original Text,2.1.1,What will /a*/ match?,match a or aaaaa,Relevant,Y,Y,Y
Human Summary,2.1.1,What does the (?) mean?,the preceding character or nothing,Relevant,Y,N,Y
Automatic Summary,2.1.1,"How many ways to specify ""at least one"" of some character?",two,Relevant,N,N,N
Original Text,2.1.1,What is the first symbol after the open square brace?,a,Relevant,N,N,N
Original Text,2.1.1,What specifies a disjunction of characters to match?,The string of characters inside the braces,Relevant,Y,N,Y
Original Text,2.1.1,What is it like to have to write the regular expression for digits twice?,annoying,Relevant,Y,N,N
Original Text,2.1.1,What does the pattern /[2-5]/ specify?,"any one of the characters 2, 3, 4, or 5",Relevant,Y,Y,Y
Human Summary,2.1.1,What is a simple type of regular expressions?,a sequence of characters,Relevant,Y,Y,N
Original Text,2.1.1,What do square brackets not allow us to say?,s or nothing,Relevant,N,N,N
Original Text,2.1.1,What is an integer?,a string of digits,Relevant,Y,N,N
Automatic Summary,2.1.1,"What means ""any string of zero or more as""?",/a*/,Relevant,N,Y,Y
Original Text,2.1.1,What is the regular expression used to specify this?,/aardvark,Relevant,N,N,N
Original Text,2.1.1,What can be used to solve this problem?,square braces,Relevant,N,N,N
Original Text,2.1.1,What does the caret stand for if it occurs anywhere else?,a caret,Relevant,Y,N,Y
Human Summary,2.1.2,"What does (( )) mean ""and""?",Parentheses,Relevant,N,N,Y
Original Text,2.1.2,What operator applies by default only to a single character?,Kleene*,Relevant,Y,N,Y
Automatic Summary,2.1.2,When do we need to use the disjunction operator?,in the midst of a larger sequence,Relevant,Y,Y,Y
Original Text,2.1.2,What is another way to enforce non-greedy matching?,qualifier,Relevant,Y,Y,Y
Human Summary,2.1.2,Non-greedy matching can be enforced by what?,question mark qualifier,Relevant,Y,Y,Y
Automatic Summary,2.1.2,What is the operator *??,Kleene star,Relevant,Y,Y,Y
Original Text,2.1.2,What can be ambiguous in another way?,Patterns,Relevant,Y,Y,N
Human Summary,2.1.2,"When regular expressions are not matched, we match them with what?",largest string they can,Relevant,Y,Y,Y
Original Text,2.1.2,What would we want to search for in a text about pets?,string cat or the string dog,Relevant,N,N,N
Original Text,2.1.2,What takes precedence over the disjunction operator?,sequences like guppy,Relevant,Y,Y,Y
Automatic Summary,2.1.2,What is another name for the disjunction operator?,pipe symbol,Relevant,Y,Y,Y
Human Summary,2.1.3,Less false negatives errors mean more what?,recall,Relevant,Y,Y,Y
Automatic Summary,2.1.3,What is an example of an incorrect pattern?,/the/,Relevant,Y,N,Y
Automatic Summary,2.1.3,What is the pattern that will miss the word when it begins a sentence?,/[tT]he/,Relevant,N,N,Y
Human Summary,2.1.3,What increases precision and recall?,Reducing error,Relevant,Y,Y,N
Automatic Summary,2.1.4,Where can a range of numbers be specified by enclosing them?,curly brackets,Relevant,Y,N,N
Original Text,2.1.4,Special characters are referred to by special notation based on what?,backslash,Relevant,Y,N,Y
Human Summary,2.1.4,What can you specify?,the number of an instance in a pattern,Relevant,N,N,N
Human Summary,2.1.4,What can you specify?,the number of an instance in a pattern,Relevant,N,N,N
Automatic Summary,2.1.5,What is a simple regular expression for a dollar sign followed by a string of digits?,/$[0-9+/,Relevant,Y,Y,Y
Original Text,2.1.5,What do we need to allow for optional fractions?,disk space,Relevant,Y,N,N
Original Text,2.1.5,What do we want to help a user buy a computer on the Web?,build an application,Relevant,N,N,N
Original Text,2.1.5,What will we add after the decimal point and two digits?,a decimal point and two digits,Relevant,N,N,N
Automatic Summary,2.1.5,What does this pattern only allow?,$199.99,Relevant,N,N,N
Automatic Summary,2.1.5,What do we need to allow for?,optional fractions,Relevant,N,Y,N
Human Summary,2.1.6,When does the command(? :) indicate a non-capturing group?,after an opening parenthesis,Relevant,Y,N,Y
Original Text,2.1.6,What can the parenthesis and number operators specify?,a certain string or expression must occur twice in the text,Relevant,Y,N,N
Original Text,2.1.6,Creating patterns is the topic of what exercise?,Exercise 2.3,Relevant,N,N,N
Human Summary,2.1.6,Capture group means using what to store a pattern in memory?,parentheses,Relevant,Y,Y,Y
Automatic Summary,2.1.6,What does the next set of substitutions do in the input?,matches and replaces other patterns,Relevant,Y,Y,N
Human Summary,2.1.7,What is used to rule out special cases while parsing complex pattern?,Negative lookahead,Relevant,Y,Y,N
Original Text,2.1.7,"What do we use when we want to match, at the beginning of a line, any single word that doesn't start with ""Volcano",negative lookahead,Relevant,N,Y,Y
Automatic Summary,2.1.7,"The operator (?= pattern) is true if pattern occurs, but is zero-width, i.e. what doesn't advance",match pointer,Relevant,N,N,N
Automatic Summary,2.1.7,What is commonly used when we are parsing complex patterns but want to rule out a special case?,Negative lookahead,Relevant,Y,Y,Y
Automatic Summary,2.2,What is a million-word collection of samples from 500 written English texts from different genres called?,The Brown corpus,Relevant,Y,Y,Y
Original Text,2.2,What is the relationship between the number of types |V | and number of tokens N called?,Herdan's Law,Relevant,Y,Y,Y
Original Text,2.2,What word has the same lemma cat but are different wordforms?,cats,Relevant,N,Y,N
Human Summary,2.2,What are utterances?,spoken sentences,Relevant,Y,Y,Y
Human Summary,2.2,"What is a set of lexical forms that share the steam, major part-of-speech, and word sense?",A lemma,Relevant,Y,Y,Y
Original Text,2.2,What is the main part of an utterance?,business data processing,Relevant,Y,N,Y
Original Text,2.2,What do we sometimes keep around?,disfluencies,Relevant,N,Y,N
Original Text,2.2,What corpus of American English telephone conversations between strangers was collected in the early 1990s?,Switchboard,Relevant,Y,Y,Y
Human Summary,2.2,How can we differentiate the number of words?,by counting tokens or types,Relevant,Y,Y,Y
Automatic Summary,2.2,What are words like uh and um called fillers?,filled pauses,Relevant,Y,Y,Y
Human Summary,2.2,What is the rough upper limit for the number of possible lemmas?,Dictionary entries or boldface forms,Relevant,Y,Y,Y
Original Text,2.3,How does a corpus of texts from different historical periods change?,Language changes over time,Relevant,Y,Y,Y
Original Text,2.3,What do most languages have?,multiple varieties,Relevant,Y,Y,Y
Original Text,2.3,What language was the corpus in?,What language,Relevant,N,N,N
Human Summary,2.3,What specifies properties of a dataset used in the development of computational models?,data statement,Relevant,Y,Y,N
Original Text,2.3,When are NLP algorithms most useful?,when they apply across many languages,Relevant,Y,Y,N
Human Summary,2.3,What are some variations in languages?,"dialect, code switching, genre",Relevant,Y,Y,Y
Original Text,2.3,What is the context of a corpus?,When and in what situation was the text written/spoken,Relevant,Y,Y,Y
Automatic Summary,2.3,"When developing computational models for language processing from a corpus, it's important to consider what?","who produced the language, in what context, for what purpose",Relevant,Y,Y,Y
Automatic Summary,2.3,How does a corpus of texts from different historical periods change?,Language changes over time,Relevant,Y,Y,N
Automatic Summary,2.4.0,"Before almost any natural language processing of a text, the text has to be what?",normalized,Relevant,Y,Y,Y
Automatic Summary,2.4.0,What is the term for segmenting words?,Tokenizing,Relevant,Y,Y,Y
Automatic Summary,2.4.0,How do we go through each of these tasks?,walk through,Relevant,N,N,N
Automatic Summary,2.4.1,What are the most frequent words in Shakespeare?,"articles, pronouns, prepositions",Relevant,Y,Y,N
Human Summary,2.4.1,"Unix can collapse, sort, and build statistics for the words in a corpus using commands such as what?",tr,Relevant,Y,Y,Y
Human Summary,2.4.1,What are the minimal tasks applied as part of any normalization process?,"Tokenizing words, normalizing word formats, and segmenting sentences",Relevant,Y,Y,Y
Human Summary,2.4.1,What command in Unix changes particular characters in the input?,The tr command,Relevant,Y,Y,Y
Automatic Summary,2.4.1,What can Unix tools be useful for?,building quick word count statistics,Relevant,Y,Y,Y
Human Summary,2.4.1,What are some examples of function words?,"articles, pronouns, and prepositions",Relevant,Y,Y,Y
Human Summary,2.4.1,What are the most frequent words?,function words,Relevant,Y,Y,N
Human Summary,2.4.2,What must we account for according to where and how they are used?,punctuation and special characters,Relevant,N,Y,Y
Automatic Summary,2.4.2,How many characters long are words on average?,2.4,Relevant,Y,Y,Y
Human Summary,2.4.2,"What is the identification of names, dates, organizations, etc?",Named entity recognition,Relevant,Y,Y,Y
Human Summary,2.4.2,What do algorithms have to deal with?,ambiguities,Relevant,Y,Y,N
Original Text,2.4.2,What is a unit of meaning called?,a morpheme,Relevant,Y,Y,Y
Human Summary,2.4.2,What language requires word segmentation?,Japanese,Relevant,Y,Y,N
Automatic Summary,2.4.2,What NLP algorithms require algorithms for word segmentation?,Japanese and Thai,Relevant,Y,Y,N
Human Summary,2.4.2,What language has no spaces?,Chinese,Relevant,Y,Y,Y
Original Text,2.4.2,How are neural sequence models trained?,supervised machine learning,Relevant,Y,Y,Y
Original Text,2.4.2,What are characters called in Chinese?,hanzi,Relevant,Y,N,Y
Automatic Summary,2.4.3,What runs on the test data the merges we have learned from the training data?,The token parser,Relevant,Y,Y,Y
Human Summary,2.4.3,Tokenizers often do what in order to solve the unknown word problem?,induce subwords,Relevant,Y,Y,Y
Human Summary,2.4.3,What implements both byte-pair encoding and unigram language modeling?,a SentencePiece library,Relevant,N,Y,Y
Original Text,2.4.3,What is one of the three algorithms used by the token learner?,byte-pair encoding,Relevant,Y,Y,Y
Automatic Summary,2.4.3,What is another name for a corpus that NLP algorithms learn from?,training corpus,Relevant,Y,Y,N
Original Text,2.4.3,What is the smallest meaning-bearing unit of a language?,morpheme,Relevant,Y,Y,Y
Human Summary,2.4.3,What library implements byte-pair encoding and unigram language modeling?,The SentencePiece library,Relevant,Y,Y,Y
Human Summary,2.4.3,What induces a set of tokens from raw data?,token learner,Relevant,Y,Y,Y
Original Text,2.4.3,Why does the token parser run on the test data?,the frequencies in the test data don't play a role,Relevant,Y,N,Y
Human Summary,2.4.3,What are most tokenization schemes made out of?,token learner and a token segmenter,Relevant,Y,Y,Y
Human Summary,2.4.4,What is standardizing the format of words and tokens?,Word normalization,Relevant,Y,Y,Y
Automatic Summary,2.4.4,What is generally not done for sentiment analysis analysis and machine translation?,case folding,Relevant,Y,Y,Y
Original Text,2.4.4,What are two types of normalization that we might want to see information from documents whether they mention the US or the USA?,information retrieval or information extraction,Relevant,Y,N,N
Original Text,2.4.4,"What is the central morpheme of the word, supplying the main meaning, and affixes?",stems,Relevant,N,Y,Y
